2015-06-16,POS Withdrawal - 75901 CORNER STORE 13        DRIPPING SPRITXUS - Card Ending In 7090,-66.21
2015-06-16,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-50
2015-06-16,POS Withdrawal - 879042 HEB GAS #404           AUSTIN       TXUS - Card Ending In 7090,-45.49
2015-06-16,POS Withdrawal - CVS 07607 7607--13510 W HIGHWAY AUSTIN       TXUS - Card Ending In 2000,-37.41
2015-06-16,POS Withdrawal - DAIRY QUEEN # 436 777 CASINO AVENUE      THACKERVILLE OKUS - Card Ending In 2000,-4.56
2015-06-16,POS Deposit - OMNI DALLAS PARKWEST 1590 LBJ FREEWAY       DALLAS       TXU - Card Ending In 2000,50
2015-06-16,POS Deposit - OMNI DALLAS PARKWEST 1590 LBJ FREEWAY       DALLAS       TXU - Card Ending In 2000,110.86
2015-06-17,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-511.36
2015-06-17,Withdrawal - Online Banking Transfer To Visa XXXXXXXXXXXX9293,-186.2
2015-06-17,POS Withdrawal - 1 800 CONTACTS 66 E WARDWORTH PARK DR 08002668228  UTUS - Card Ending In 2000,-118.97
2015-06-17,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-85
2015-06-17,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-80
2015-06-17,Withdrawal - Online Banking Transfer To Visa XXXXXXXXXXXX9293,-9.17
2015-06-17,Deposit - Online Banking Transfer from XXXXXXXXXX CK,75
2015-06-17,Deposit - Online Banking Transfer from XXXXXXXXXX CK,480
2015-06-18,POS Withdrawal - 1921254 DISCOUNT  DISCOUNT TIR AUSTIN       TXUS - Card Ending In 7090,-750.31
2015-06-18,External Withdrawal - FCU  -  Bac,-350
2015-06-18,External Withdrawal - FCU  -  Bac,-45
2015-06-18,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-30
2015-06-18,POS Withdrawal - AMAZON MKTPLACE PMTS 440 Terry Ave N        AMZN.COM/BILLWAU - Card Ending In 7090,-27.81
2015-06-18,POS Withdrawal - AMAZON MKTPLACE PMTS 440 Terry Ave N        AMZN.COM/BILLWAU - Card Ending In 7090,-17.07
2015-06-18,POS Withdrawal - 75901 CORNER STORE 13        DRIPPING SPRITXUS - Card Ending In 2000,-15.5
2015-06-19,POS Withdrawal - DISTRICT 5900 W SLAUGHTER LN D50AUSTIN       TXUS - Card Ending In 2000,-121.92
2015-06-19,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-50
2015-06-19,Withdrawal - Online Banking Transfer To XXXXXXXXXX CK,-25
2015-06-19,POS Withdrawal - GROUPON INC 600 W Chicago Ave      877-788-7858 ILUS - Card Ending In 2000,-20.16
2015-06-19,POS Withdrawal - REDBOX *DVD RENTAL 1 Tower Lane Ste 1200  866-733-2693 ILUS - Card Ending In 2000,-4.82
2015-06-19,Deposit - Online Banking Transfer from XXXXXXXXXX SAV,750.31
2015-06-20,POS Withdrawal - WM SUPERCENTER # Wal-Mart Super Center  AUSTIN (MID WTXUS - Card Ending In 7090,-260.36
2015-06-20,POS Withdrawal - PUBLIX 7694 VINELAND          ORLANDO      FLUS - Card Ending In 2000,-154.34
2015-06-20,POS Withdrawal - DNC TRAVEL - AUSTI 3600 PRESIDENTIAL      AUSTIN       TXUS - Card Ending In 2000,-21.49
2015-06-20,POS Withdrawal - Amazon.com 1200 12TH AVE          AMZN.COM/BILLWAUS - Card Ending In 7090,-11.2
2015-06-20,POS Withdrawal - AUSSIES BAR & GRILL 306 Barton Springs Rd  AUSTIN       TXUS - Card Ending In 7090,-8.97
2015-06-20,POS Withdrawal - 545253 SHELL Service S        AUSTIN       TXUS - Card Ending In 7090,-3.25
2015-06-21,POS Withdrawal - JD # 2 CHEVRON/JD # 2         AUSTIN       TXUS - Card Ending In 7090,-41.84
2015-06-21,POS Withdrawal - WM SUPERCENTER # Wal-Mart Super Center  AUSTIN (MID WTXUS - Card Ending In 7090,-20.9
2015-06-21,POS Withdrawal - 124182 SUNSHINE #222          ORLANDO      FLUS - Card Ending In 2000,-11.18
2015-06-21,POS Withdrawal - 7-ELEVEN 13407 APOPKA-VINEL     ORLANDO      FLUS - Card Ending In 2000,-3.29
2015-06-22,POS Withdrawal - APPLEBEES 076064676752 13351 SR 535           ORLANDO      F - Card Ending In 2000,-32.66
2015-06-22,POS Withdrawal - GREY ROCK GOLF CLUB 7401 STATE HIGHWAY 45  AUSTIN       TXUS - Card Ending In 7090,-27.06
2015-06-22,POS Withdrawal - OUTBACK 1055 895 W Osceola Pkwy #300KISSIMMEE    FLUS - Card Ending In 2000,-24.93
2015-06-22,POS Withdrawal - SFM 185 CHEVRON/SFM 185        ORLANDO      FLUS - Card Ending In 2000,-23.02
2015-06-22,POS Withdrawal - 879257 HEB #611               DRIPPING SPRITXUS - Card Ending In 7090,-16.21
2015-06-22,POS Withdrawal - ORANGE COUNTY C C CONC 9800 INTERNATIONAL DRIVORLANDO      F - Card Ending In 2000,-14
2015-06-22,POS Withdrawal - GREY ROCK GOLF CLUB 7401 STATE HIGHWAY 45  AUSTIN       TXUS - Card Ending In 7090,-2
2015-06-22,Deposit - Online Banking Transfer from XXXXXXXXXX SAV,140
2015-06-23,POS Withdrawal - SUBWAY        0028443 2800 E WHITESTONE BLVD CEDAR PARK   TX - Card Ending In 7090,-15.97
2015-06-23,POS Withdrawal - ORANGE COUNTY C C CONC 9800 INTERNATIONAL DRIVORLANDO      F - Card Ending In 2000,-12.5
2015-06-23,POS Withdrawal - POPEYES CHICKEN 2261 3652 BEE CAVES         WEST LAKE HILTXU - Card Ending In 7090,-8.65
2015-06-23,POS Withdrawal - DRIPPIN' DONUTS 651  HWY. 290 WEST     DRIPPING SPRITXUS - Card Ending In 7090,-7.84
2015-06-23,POS Withdrawal - RANDALLS STORE 2485 2025 W  BEN WHITE BLVD AUSTIN       TXUS - Card Ending In 7090,-7
2015-06-23,POS Withdrawal - 694453 TRADER JOE'S  #        AUSTIN       TXUS - Card Ending In 7090,-4.32
2015-06-24,ATM Withdrawal - SALT LICK #3 T 18300 FM 1826          DRIFTWOOD    TXUS - Card Ending In 7090,-82
2015-06-24,POS Withdrawal - EMERIL'S RESTAURANT OR 6000 UNIVERSAL BLVD    ORLANDO      F - Card Ending In 2000,-43.55
2015-06-24,POS Withdrawal - TIGER TRUCK STOP 76730 GARNER LANE      GROSSE TETE  LAUS - Card Ending In 7090,-43.38
2015-06-24,External Withdrawal - FCU  -  CV,-19.79
2015-06-25,POS Withdrawal - 542929800038291 ROUSES MARKET # 29     NEW ORLEANS  LAUS - Card Ending In 7090,-41.95
2015-06-25,POS Withdrawal - EXXONMOBIL    47856307 2061 HWY 71            CEDAR CREEK  T - Card Ending In 7090,-41.9
2015-06-25,POS Withdrawal - JR GRILL & MARKET LLC 9036A AIRPORT BLVD     ORLANDO      FL - Card Ending In 2000,-35.88
2015-06-25,POS Withdrawal - ABM PARKING AUSTIN BER 2901 EMPLOYEE AVE      AUSTIN       T - Card Ending In 7090,-3
2015-06-25,POS Withdrawal - 542929800038291 ROUSES MARKET # 29     NEW ORLEANS  LAUS - Card Ending In 7090,-1.35
2015-06-26,POS Withdrawal - WINN-DIXIE GROCERY #14 401 N CARROLLTON AVE   NEW ORLEANS  L - Card Ending In 7090,-238.05
